freq;N2;tx_site;N4;N5;programme;country;N6;N7;N8;N9;closed;N10;N11;N12;N13;station;N14;N15;N16
256.000;c;Bad Gleichenberg;ste;;GBG;AUT;;b;0.100;;;;15e47/46n54;;;INACTIVE - NOW GBG-426;;;not confirmed
278.000;c;Innsbruck;;;INN;AUT;;b;;;;;11e22/47n14;;;INACTIVE - NOW ON 420.0;;;Barteczek Tabelle inactive2021
290.000;;Graz;;;GRZ;AUT;;b;0.080;;;;15e28/46n56;;;1019Hz ID+3 gap;;;
293.000;;Wien / Schwechat / Steinhof;;;STE;AUT;;b;;;;;16e12/48n14;;;1019Hz ID+8 gap;;;
303.000;;Innsbruck / Rattenberg;;;RTT;AUT;;b;;;;;11e57/47n26;;;1020Hz ID+8 gap;;;
303.000;c;Wien / Schwechat;;;WO;AUT;;b;;;;;16e27/48n09;;;1020Hz ID+7 gap INACTIVE;;;
306.500;c;Nr Vienna;;;DGPS#1;AUT;;b;0.200;;;;16e52/48n09;;;"DGPS; Ref ID: 001; 200bps";;;
313.000;c;Innsbruck / Absam;;;AB;AUT;;b;;;;;11e32/47n16;;;1021Hz INACTIVE;;;
313.000;;Klagenfurt;;;KI;AUT;;b;;;;;14e22/46n39;;;1020Hz;;;
315.000;c;Trausdorf / Wiener Neustadt;;;TF;AUT;;b;;;;;16e17/47n51;;;1042Hz INACTIVE;;;
320.000;;Innsbruck / Rum;;;RUM;AUT;;b;;;;;;;;1021Hz ID+6 gap;;;
327.000;;Linz / Horsching;;;LNZ;AUT;;b;;;;;14e17/48n14;;;1025Hz ID+6 gap;;;
356.000;c;Salzburg;;;SU;AUT;;b;;;;;12e57/47n54;;;401Hz INACTIVE;;;
358.000;;Tulln for Schwechat;;;TUN;AUT;;b;;;;;15e57/48n19;;;1022Hz ID+7 gap;;;
374.000;;Klagenfurt;;;KFT;AUT;;b;;;;;14e32/46n36;;;1021Hz ID+6 gap;;;
382.000;;Salzburg / Oberndorf;;;SBG;AUT;;b;0.050;;;;12e52/47n59;;;1024Hz ID+6 gap;;;
